"","X","business_id","name","address","city","state","postal_code","latitude","longitude","stars","review_count","is_open","categories","attributes.GoodForKids","attributes.RestaurantsReservations","attributes.GoodForMeal","attributes.BusinessParking","attributes.Caters","attributes.NoiseLevel","attributes.RestaurantsTakeOut","attributes.RestaurantsPriceRange2","attributes.OutdoorSeating","attributes.BikeParking","attributes.Ambience","attributes.HasTV","attributes.WiFi","attributes.Alcohol","attributes.RestaurantsAttire","attributes.RestaurantsGoodForGroups","attributes.RestaurantsDelivery","attributes.BusinessAcceptsCreditCards","Chinese","French","Mexican","Italian","Indian","Japanese","American"
"33",656,"tcT3oHh_dwi_FYhozw3Ibw","Bomberos Cafe & Wine Bar","8801 N Central Ave, Ste 104","Phoenix","AZ","85020",33.5650982,-112.0737503,4,135,0,"Nightlife, Latin American, Wine Bars, Restaurants, Bars, Lounges","False","True",NA,1,NA,NA,"True","2","True",NA,NA,NA,NA,"'beer_and_wine'","u'casual'","True","False","True",0,0,0,0,0,0,1
"34",674,"9vub2LM7Djy8P-LPumcLXA","Tacos Chiwas","1923 E Mcdowell Rd","Phoenix","AZ","85006",33.465551,-112.0401151,4.5,453,1,"Restaurants, Latin American, Mexican, Tacos","True","False",2,1,"True","'average'","True","1","False","True",1,"False","'no'","u'none'","u'casual'","False","False","True",0,0,1,0,0,0,1
"35",682,"ILA41PhErg4bl1royzDX4g","S & V Urban Italian","9343 E Shea Blvd, Ste 100","Scottsdale","AZ","85260",33.5813628,-111.8796351,4,105,1,"Nightlife, Bars, Restaurants, Wine Bars, Pizza, Italian","True","True",3,1,"True","u'average'","True","2","True","True",4,"True","u'free'","u'full_bar'","'casual'","True","True","True",0,0,0,1,0,0,0
"36",686,"HFDZeMrm13xX5yJvpaRaIQ","Even Stevens Sandwiches","384 N Gilbert Rd, Ste 104","Gilbert","AZ","85234",33.3568181,-111.7897728,4.5,213,0,"Gluten-Free, Breakfast & Brunch, Sandwiches, Restaurants, Salad","True","False",4,2,"True","u'average'","True","1","False","True",3,"False","u'free'","u'beer_and_wine'","u'casual'","True","False","True",0,0,0,0,0,0,0
"37",688,"JrrY4v21k7_qYxIidhi-aw","Kelly's Bar & Lounge","6012 Penn Cir S","Pittsburgh","PA","15206",40.4599920866,-79.9244865083,3.5,166,1,"Lounges, Nightlife, American (Traditional), Bars, Restaurants","False","False",0,1,NA,"u'loud'","True","2","True","True",2,"False","'no'","u'full_bar'","'casual'","True","False","True",0,0,0,0,0,0,1
"38",694,"hgQOESYp7CF4LnNI90XEiw","800 Degrees","2535 Las Vegas Blvd S","Las Vegas","NV","89109",36.1423694,-115.156034,3.5,296,1,"Pizza, Salad, Restaurants, Italian","True","False",3,2,"False","'average'","True","2","False","False",1,"False","'free'","u'beer_and_wine'","'casual'","True","False","True",0,0,0,1,0,0,0
"39",707,"1nF8Me63cpxIkFK8Ysx-DA","Shabu Shabu Paradise","1716 W Horizon Ridge Pkwy, Ste 110","Henderson","NV","89012",36.011899,-115.0628631,4.5,248,1,"Fondue, Japanese, Restaurants","True","True",2,1,"False","u'quiet'","False","2","False","True",1,"False","u'no'","'beer_and_wine'","'casual'","True","False","True",0,0,0,0,0,1,0
"40",709,"giCq1MmW-_S2tvNOAHvJcQ","Tarbell's The Tavern","3209 E Camelback Rd","Phoenix","AZ","85018",33.5091229429,-112.0126287829,4,107,1,"American (Traditional), Lounges, American (New), Mexican, Wine Bars, Restaurants, Nightlife, Bars, Cocktail Bars","False","True",1,1,"True","u'average'","True","2","True","True",1,"True","u'no'","u'beer_and_wine'","u'casual'","True","False","True",0,0,1,0,0,0,1
"41",716,"QSGerT1enEKlvJnYkwthHQ","Claim Jumper Restaurant & Saloon","10125 W McDowell Rd","Avondale","AZ","85392",33.4630705155,-112.2778768672,2.5,236,1,"Steakhouses, Restaurants, Bars, Nightlife, American (Traditional), Seafood","True","True",2,1,"True","'average'","True","2","False","True",1,"True","u'free'","'full_bar'","'casual'","True","False","True",0,0,0,0,0,0,1
"42",719,"F06m2yQSPHIrb1IT7heYeQ","Rainbow Kitchen","7537 S Rainbow Blvd","Las Vegas","NV","89139",36.0514499584,-115.2441147342,4,101,1,"Chinese, Seafood, Cantonese, Noodles, Restaurants","True","True",3,1,"True","u'average'","True","2","False","True",1,"True","'free'","'beer_and_wine'","'casual'","True","False","True",1,0,0,0,0,0,0
"43",766,"CGUK3cd2gxp2q3KPY19Oog","Roots Cafe","2135 Southend Dr, Ste 109","Charlotte","NC","28203",35.2065071258,-80.8602583075,4,104,1,"Breakfast & Brunch, Restaurants, Coffee & Tea, Cafes, Food","True","False",3,1,"True","u'quiet'","True","2","True","True",0,"False","'free'","u'beer_and_wine'","u'casual'","True","True","True",0,0,0,0,0,0,0
"44",810,"ncXQtqJT5Gk1QztwTrBrgw","New York Bagels 'N Bialys","10320 N Scottsdale Rd","Scottsdale","AZ","85253",33.5796797,-111.9275444,4,307,1,"Restaurants, Delis, Breakfast & Brunch, American (Traditional), Food, Bakeries, Bagels","True","True",3,1,"True","u'average'","True","2","True","True",1,"True","u'free'","u'full_bar'","'casual'","True","False","True",0,0,0,0,0,0,1
"45",814,"sMzNLdhJZGzYirIWt-fMAg","Sienna Mercato","942 Penn Ave","Pittsburgh","PA","15222",40.4439496,-79.9964366,4,752,1,"Cocktail Bars, Italian, American (New), Nightlife, Bars, Pizza, Restaurants","True","False",1,2,"False","u'average'","True","2","True","True",2,"True","u'free'","u'full_bar'","u'casual'","True","False","True",0,0,0,1,0,0,1
"46",918,"uwpPniaFEVkK5T_PWdQZ0A","Le Peep","8140-100 Providence Rd","Charlotte","NC","28277",35.096737,-80.778558,3.5,134,1,"Breakfast & Brunch, Restaurants, Coffee & Tea, American (Traditional), Food","True","False",3,1,"True","u'average'","True","2","True","True",1,"False","u'no'","u'none'","u'casual'","True","False","True",0,0,0,0,0,0,1
"47",927,"0WAL6O1YvcJbeDRYeRm34w","The Cove Trattoria","7001 N Scottsdale Rd, Ste 184","Paradise Valley","AZ","85253",33.5394631012,-111.924161911,4,170,0,"Pizza, Restaurants, Italian","True","True",NA,1,"True","u'average'","True","2","True","True",1,"True","u'no'","u'full_bar'","u'casual'","True","False","True",0,0,0,1,0,0,0
"48",938,"cs1qJvnWUg_f8g020z_3PQ","Pizzeria Bianco","4743 N 20th St","Phoenix","AZ","85016",33.5073476,-112.0376461,3.5,579,1,"Tapas/Small Plates, Italian, Pizza, Restaurants","True","True",2,1,"False","u'average'","True","2","True","True",1,"False","'no'","u'full_bar'","u'casual'","True","False","True",0,0,0,1,0,0,0
"49",963,"9E1q2uEMd881wnruicNTUA","Buffalo Wild Wings","8870 E Indian Bend Rd","Scottsdale","AZ","85250",33.5385580506,-111.8908726255,3,133,1,"Sports Bars, Nightlife, Chicken Wings, Restaurants, Bars, American (Traditional)","True","False",2,1,"False","'loud'","True","2","True","True",1,"True","'free'","u'full_bar'","u'casual'","True","False","True",0,0,0,0,0,0,1
"50",988,"Ycp3Agr7dt71TZkeKV7jng","Le Gourmand","152 Spadina Avenue","Toronto","ON","M5V 3S6",43.6481229,-79.3966409,4,214,1,"Restaurants, Desserts, Sandwiches, Cafes, French, Coffee & Tea, Food, Breakfast & Brunch","True","False",3,1,"False","u'average'","True","2","True","True",1,"False","u'free'","u'none'","u'casual'","True","False",NA,0,1,0,0,0,0,0
"51",1038,"nrahyQyopCtajDqUtVVVfA","The Sushi","16 W Horizon Ridge Pkwy","Henderson","NV","89012",36.0114785,-114.9922411,3.5,190,1,"Japanese, Sushi Bars, Restaurants","True","True",2,1,"False","u'average'","True","2","False","True",1,"True","u'no'","u'beer_and_wine'","u'casual'","True","False","True",0,0,0,0,0,1,0
"52",1053,"lyzrJAx85KdCQzZq8LSPMA","Jimmy & Joe's Pizzeria","3950 W Ray Rd, Ste 1","Chandler","AZ","85226",33.3212854,-111.9102205,3.5,140,0,"Pizza, Restaurants","True","False",NA,1,"True","u'average'","True","1","True","True",1,"True","u'free'","u'none'","'casual'","False","True","True",0,0,0,0,0,0,0
"53",1056,"tK-PQOhZo94fonbQVXaOSg","King Wok","860 E Warner Rd, Ste 102","Gilbert","AZ","85296",33.3369054333,-111.7717713333,4,128,1,"Chinese, Restaurants","True","False",2,1,"False","u'quiet'","True","1","False","True",1,"True","u'no'","u'none'","u'casual'","True","True","True",1,0,0,0,0,0,0
"54",1061,"eU_713ec6fTGNO4BegRaww","La Tavola Italiana","1 Boggs Ave","Pittsburgh","PA","15211",40.4267793,-80.005652,3.5,132,1,"Restaurants, Italian, Pizza","True","True",1,1,"True","u'average'","True","2","False","True",0,"False","u'no'","u'none'","'casual'","True","False","True",0,0,0,1,0,0,0
"55",1072,"mXyLqsbe7FT1X8ZFOP8WpQ","Blue 32 Sports Grill","1524 E Williams Field Rd","Gilbert","AZ","85295",33.3073245,-111.7573206,4,369,1,"American (New), Nightlife, Restaurants, Sports Bars, Bars","True","False",2,1,"False","u'average'","True","2","True","True",1,"True","u'free'","u'full_bar'","u'casual'","True","False","True",0,0,0,0,0,0,1
"56",1073,"QEgfK_TKY8bwK-YzKDdkGw","Lumiere French Kitchen","1039 Providence Rd","Charlotte","NC","28207",35.19508,-80.825792,4.5,140,0,"French, Restaurants","False","True",1,1,"True","u'average'","False","3","False","True",2,"False","'no'","u'full_bar'","u'dressy'","True","False","True",0,1,0,0,0,0,0
"57",1079,"DEBqmgxv2yhJ93LqGpKltg","Earl of Sandwich","505 S Mill Ave","Tempe","AZ","85281",33.4251725238,-111.9397368282,4,110,0,"Salad, Wraps, Event Planning & Services, Soup, Caterers, Sandwiches, Food, Restaurants","True","False",3,2,"True","u'average'","True","1","False","True",1,"False","u'free'","u'beer_and_wine'","u'casual'","True","True","True",0,0,0,0,0,0,0
"58",1096,"SAfuIUZMXrOnb3LWyvYjDA","Jun's Korean Restaurant","8826 S Eastern Ave, Ste 113","Las Vegas","NV","89123",36.029295364,-115.1158845155,3.5,292,1,"Korean, Restaurants","True","False",2,1,"True","u'average'","True","2","False","True",1,"True","u'no'","u'none'","'casual'","True","False","True",0,0,0,0,0,0,0
"59",1108,"BJ3AyMhTaORAu_e_J2KNEQ","River Café","25 Prince's Island Park","Calgary","AB","T2P 0R1",51.0547701109,-114.0714097023,4,148,1,"Restaurants, Wine Bars, Cafes, Food, American (New), Local Flavor, Nightlife, Canadian (New), Bars","True","True",3,1,"True","u'average'","True","3","True","True",1,"False","u'free'","u'full_bar'","'casual'","True","False",NA,0,0,0,0,0,0,1
"60",1137,"uF86ZhygpBEGr3CudNemYA","O.Noir","620 Church St","Toronto","ON","M4Y 2G2",43.6691213,-79.382764,3.5,301,1,"Canadian (New), American (New), Restaurants","False","True",1,1,"False","u'average'","False","3","False","True",0,"False","u'no'","u'full_bar'","u'casual'","True","False",NA,0,0,0,0,0,0,1
"61",1167,"aidcfUzZLOjWgwlxfv3UlA","Tony Big's Pizza N Pasta","7150 S Durango Dr","Las Vegas","NV","89113",36.0583571386,-115.2784112221,3,106,1,"Italian, Pizza, Restaurants","False","True",0,1,"True","u'quiet'","True","2","False","True",0,"True","u'free'","'full_bar'","'casual'","True","True","True",0,0,0,1,0,0,0
"62",1172,"IkilcGqiN3_sQk-VvnoAeg","Le Vin Papillon","2519 Rue Notre-Dame Ouest","Montréal","QC","H3J 1N4",45.48277,-73.5754852,4.5,108,1,"Nightlife, Wine Bars, Restaurants, Canadian (New), Bars","False","False",1,1,"False","u'average'","False","3","True","True",0,"False","'no'","u'full_bar'","u'casual'","False","False",NA,0,0,0,0,0,0,0
"63",1201,"sQ6DZZLLJRfwUr0eDWKDDg","Tott's Asian Diner","4030 W Ray Rd, Ste 1","Chandler","AZ","85226",33.3212645,-111.9116902,4,416,1,"Restaurants, Chinese, Asian Fusion","True","False",2,1,"True","u'average'","True","1","True","True",1,"False","u'no'","u'none'","'casual'","True","False","True",1,0,0,0,0,0,0
"64",1215,"U8ubLSxnCKRAJRmN1XWZaA","Oak Steakhouse Charlotte","4777 Sharon Rd","Charlotte","NC","28210",35.1466338,-80.8311183,4,102,1,"Steakhouses, Restaurants","False","True",2,1,"False","u'quiet'","True","3","True","True",3,"True","u'free'","u'full_bar'","'dressy'","True","False","True",0,0,0,0,0,0,0
"65",1236,"9IJ-TE4HEcAJQkUtc1A_Vw","Parallax Restaurant and Lounge","2179 W 11th St","Cleveland","OH","44113",41.482406,-81.68906,4,207,1,"Restaurants, Asian Fusion, Sushi Bars, Thai","False","True",1,1,"False","u'average'","True","3","True","True",1,"True","u'no'","'full_bar'","'casual'","True","False","True",0,0,0,0,0,0,0
"66",1342,"6nKR80xEGHYf2UxAe_Cu_g","The Thumb BBQ","9393 E Bell Rd","Scottsdale","AZ","85260",33.6393699646,-111.8792572021,4.5,917,1,"Farmers Market, Gas Stations, Automotive, Car Wash, Restaurants, Breakfast & Brunch, Burgers, Food, American (Traditional), American (New), Bakeries, Barbeque, Caterers, Event Planning & Services","True","False",3,1,"True","u'average'","True","2","True","True",1,"True","u'free'","u'beer_and_wine'","u'casual'","True","False","True",0,0,0,0,0,0,1
"67",1364,"5Qoq8cif3nMCQUN-urH8YA","The Pickle Barrel","1 Yorkdale Road","Toronto","ON","M6A 2T9",43.7246888,-79.4538904,2.5,170,1,"Restaurants, Cocktail Bars, Canadian (New), Bars, Nightlife, Diners","True","True",2,0,"True","u'average'","True","2","False","True",1,"True","'free'","u'full_bar'","u'casual'","True","False",NA,0,0,0,0,0,0,0
"68",1399,"FiG8PzWKRYehtPPcPtOStw","Salsa Blanca","20221 N 67th Ave","Glendale","AZ","85308",33.670048182,-112.2004730166,4,139,0,"Mexican, Restaurants","True","False",NA,1,"True","u'average'","True","1","True","True",1,"True","u'free'","u'full_bar'","u'casual'","True","True","True",0,0,1,0,0,0,0
"69",1408,"NoT7u2QNEvsVbH9MIzAzlw","Si Lom Thai Bistro","534 Church Street","Toronto","ON","M4Y",43.6650073,-79.3808111,4,106,1,"Thai, Restaurants, Vegan","True","False",2,1,"True","u'average'","True","2","True","True",2,"False","u'no'","u'full_bar'","'casual'","True","False",NA,0,0,0,0,0,0,0
"70",1414,"I6qFvR-jVDGqDD_iVG38ng","Jenni Pho Grill","4480 W Spring Mountain Rd","Las Vegas","NV","89102",36.1264280647,-115.2013077572,3,244,0,"Local Flavor, Food, Restaurants, Vietnamese","True","True",NA,1,"True","u'average'","True","1","False","False",1,"True","u'free'","'beer_and_wine'","u'casual'","True","False","True",0,0,0,0,0,0,0
"71",1442,"NpFtNc51LaZr8Y5_o2wRaw","Texas Roadhouse","16079 N Arrowhead Fountains Center Dr","Peoria","AZ","85382",33.6321621,-112.2375661,3.5,320,1,"Restaurants, American (Traditional), Steakhouses, Barbeque","True","False",1,1,"True","'loud'","True","2","True","True",1,"True","u'free'","'full_bar'","'casual'","True","False","True",0,0,0,0,0,0,1
"72",1449,"4PqqRa7o_eNydKdGWYdIog","Tempe City Tacos","119 E Southern Ave","Tempe","AZ","85282",33.3915708,-111.9383874,4.5,284,1,"Breakfast & Brunch, Specialty Food, Food, Tacos, Salad, Restaurants, Event Planning & Services, Caterers, Mexican","True","True",2,0,"True","u'quiet'","True","1","False","False",1,"True","u'no'","'none'","u'casual'","True","False","True",0,0,1,0,0,0,0
"73",1450,"YzMUZjUMcgI-NSGu48-nIQ","Dolce Ristorante","1710 Kenilworth Ave, Ste 203","Charlotte","NC","28203",35.2026242,-80.8444191,3.5,166,1,"Nightlife, Desserts, American (New), Food, Wine Bars, Bars, Restaurants, Italian","False","True",1,1,"True","u'average'","True","2","True","True",0,"False","u'no'","u'full_bar'","u'casual'","True","False","True",0,0,0,1,0,0,1
